name;url;Company;Company_url;Posted_Time;Posted_Time_url;Alter_Name;Alter_Name_url;Vacancy_Place;Salary;Education_Degree;Vacancy_Time;Vacancy_Id;Skills__name;
;;;;;;;;;;;;10;JavaScript;
;;;;;;;;;;;;10;back-end development;
;;;;;;;;;;;;10;programming;
;;;;;;;;;;;;10;proqramlaşdırma;
;;;;;;;;;;;;10;proqram təminatı;
;;;;;;;;;;;;10;Mysql;
;;;;;;;;;;;;10;SQL;
Əsas bank sistemləri üzrə Baş mütəxəssis (Core bank systems);https://busy.az/vacancy/122184/esas-bank-sistemleri-uzre-bas-mutexessis-core-bank-systems;PASHA Bank;https://busy.az/vacancy/122184/esas-bank-sistemleri-uzre-bas-mutexessis-core-bank-systems;6 gün əvvəl;https://busy.az/vacancy/122184/esas-bank-sistemleri-uzre-bas-mutexessis-core-bank-systems;proqramçı;https://busy.az/professions/proqramci;Bakı;Razılaşma yolu ilə;Ali (bakalavr);Tam ştat (full time);11;PL/SQL;
;;;;;;;;;;;;11;rus dili;
;;;;;;;;;;;;11;SQL;
;;;;;;;;;;;;11;software development;
;;;;;;;;;;;;11;programming;
;;;;;;;;;;;;11;proqramlaşdırma;
;;;;;;;;;;;;11;proqram təminatı;
Middle frontend developer;https://busy.az/vacancy/122174/middle-frontend-developer;Ultra Technologies;https://busy.az/vacancy/122174/middle-frontend-developer;6 gün əvvəl;https://busy.az/vacancy/122174/middle-frontend-developer;proqramçı;https://busy.az/professions/proqramci;Bakı;Razılaşma yolu ilə;Ali;Tam ştat (full time);12;HTML;
;;;;;;;;;;;;12;CSS;
;;;;;;;;;;;;12;front-end development;
;;;;;;;;;;;;12;software development;
;;;;;;;;;;;;12;programming;
;;;;;;;;;;;;12;proqramlaşdırma;
;;;;;;;;;;;;12;proqram təminatı;
SQL Server üzrə Proqramçı;https://busy.az/vacancy/122054/sql-server-uzre-proqramci;Softech;https://busy.az/vacancy/122054/sql-server-uzre-proqramci;7 gün əvvəl;https://busy.az/vacancy/122054/sql-server-uzre-proqramci;proqramçı;https://busy.az/professions/proqramci;Bakı;11.03.2024;Razılaşma yolu ilə;Tam ştat (full time);13;SQL;
;;;;;;;;;;;;13;software development;
;;;;;;;;;;;;13;programming;
;;;;;;;;;;;;13;proqramlaşdırma;
;;;;;;;;;;;;13;proqram təminatı;
Kiçik Mobil Programçı;https://busy.az/vacancy/122032/kicik-mobil-programci;AzəriMed QSC;https://busy.az/vacancy/122032/kicik-mobil-programci;7 gün əvvəl;https://busy.az/vacancy/122032/kicik-mobil-programci;mobile application developer;https://busy.az/professions/mobile-application-developer;Bakı;21 - 30;Ali;Tam ştat (full time);14;proqramlaşdırma;
;;;;;;;;;;;;14;proqram təminatı;
;;;;;;;;;;;;14;software development;
;;;;;;;;;;;;14;programming;
;;;;;;;;;;;;14;mobile application;
;;;;;;;;;;;;14;mobile development;
Proqram təminatı üzrə mühəndis (Backend Developer);https://busy.az/vacancy/122007/proqram-teminati-uzre-muhendis-backend-developer;Kontakt Home;https://busy.az/vacancy/122007/proqram-teminati-uzre-muhendis-backend-developer;7 gün əvvəl;https://busy.az/vacancy/122007/proqram-teminati-uzre-muhendis-backend-developer;back-end developer;https://busy.az/professions/back-end-developer;Bakı;11.03.2024;Razılaşma yolu ilə;Tam ştat (full time);15;ASP.NET;
;;;;;;;;;;;;15;OOP;
;;;;;;;;;;;;15;proqram təminatı;
;;;;;;;;;;;;15;back-end development;
;;;;;;;;;;;;15;programming;
;;;;;;;;;;;;15;proqramlaşdırma;
;;;;;;;;;;;;15;SQL;
